2803,Alcohol injection in peripheral nerves for pain: Unilateral,,
2804,Inserting an indwelling nerve catheter (includes removal of catheter) (not for bolus technique),,
2805,Alcohol injection in peripheral nerves for pain: Bilateral,,
2809,Peripheral nerve section for pain,,
2811,Pudendal neurectomy: Bilateral,,
2813,Obturator or Stoffels,,
2815,Interdigital,,
2825,Excision: Neuroma: Peripheral,T,
2827,Transposition of ulnar nerve,,
2829,Neurolysis: Minor,,
2831,"Neurolysis: Major, Carpal Tunnel",T,
2833,Neurolysis: Digital,,
2834,Neoroplasty: Sciatic nerve,,
2835,Scalenotomy,,
2837,"Brachial plexus, suture or neurolysis (item 2767), Brachytherapy",T,
2839,"Total brachial plexus exposure with graft, neurolysis and transplantation",,
2841,Carpal Tunnel (Discontinued - 2012) Use code 0782,,
2843,Lumbar sympathectomy: Unilateral,,
2845,Lumbar sympathectomy: Bilateral,,
2846,Cervical sympathectomy: Trans-thoracic approach (use item 2847 or item 2848 as appropriate),,
2847,Cervical sympathectomy: Unilateral,,
2848,Cervical sympathectomy: Bilateral,,
2849,Sympathetic block: Other levels: Unilateral,,
2851,Sympathetic block: Other levels: Bilateral,,
2853,"Sympathetic block: Other levels: Diagnostic/Therapeutic nerve block (unassociated with surgery) - either intercostal, or brachial, or peripheral, or stellate ganglion",,
2855,Removal of skull tumour: With or without plastic repair: Small,,
2857,Removal of skull tumour: With or without plastic repair: Major,,
2859,Repair of depressed fracture of skull: Without brain laceration: Major,,
2860,Repair of depressed fracture of skull: Without brain laceration: Small,,
2861,Repair of depressed fracture of skull: With brain lacerations: Small,,
2862,Repair of depressed fracture of skull: With brain lacerations: Major,,
2863,Cranioplasty,,
2864,Encephalocele (excluding frontal),,
2865,Craniostenosis: Few suturae,,
2867,Craniostenosis: Multiple suturae,,
2869,Ventriculo-cisternostomy,,
2871,Ventriculo-caval shunt,,
2873,"Ventriculo-peritoneal shunt, VP shunt, Morfien pump, Hersien LP omleiding, Creation of shunt:Ventriculo-peritoneal, -pleural, other terminus",T,
2875,"Theco-peritoneal C.S.F. shunt, Morfien pump, Creation of shunt: Subarachnoid-peritoeal, -pleural, or other: percutaneous, lumbar, not requiring laminectomy",T,
2876,Repair of aneurysms or arteriovenous anomalies (Intracranial),,
2877,Extracranial to intracranial vascular,,
2878,Posterior fossa arteriovenous anomalies,,
2879,Glosso pharyngeal nerve,,
2881,Eighth nerve: Intracranial,,
2883,Eighth nerve: Extracranial,,
2884,Sub-temporal section of the trigeminal nerve,,
2885,"Trigeminal tractotomy, Trigininale ballon kateter",,
2886,Posterior fossa decompression with or without laminectomy with or without dural insertion for Arnold Chiarri malformation or obstructive cysts e.g. Dandy Walker or parasites,,
2887,Vestibular nerve,,
2889,"Posterior fossa tumour removal: Acoustic neuroma, benign cerebello-pontine tumours, meningioma, clivus meningioma, chordoma, clivus chordoma or cholesteatoma",,
2891,"Posterior fossa tumour removal: Glioma, secondary deposits",,
2893,Posterior fossa tumour removal: Abscess,,
2895,Excision of tumour of glomus jugulare: Intracranial,,
2897,Excision of tumour of glomus jugulare: Extracranial,,
2898,Excision of tumour of glomus jugulare: Hemispherectomy,,
2899,Craniectomy for extra-dural haematoma or empyema,,
2900,Craniotomy for Extra-dural orbital decompression or excision of orbital tumour,,
2901,"Craniotomy for Osteoplastic Flap for removal of: Meningioma, basal extracerebral mass, intra ventricular tumours, pineal tumours, pituitary adenoma, total excision cranio-pharyngioma/pharyngioma, DBS parkinsons, DBS vir distonie",T,
2903,"Craniotomy for Abscess, Glioma",,
2904,"Craniotomy for Haematoma, foreign body: Cerebral or cerebellar, Drukmonitor, Craniectomy/craniotomy: with evacuation of supratentorial, intracerebral haematoma",T,
2905,Craniotomy for Focal epilepsy: Excision of cortical scar,,
2906,Craniotomy with anterior fossa meningocele and repair of bony skull defect,,
2907,Craniotomy for Temporal lobectomy,,
2908,Craniotomy for Torkildsen anastomosis,,
2909,"Craniotomy for CSF-leaks, DBS brein, Ventrical drainage, Craniotomy repair of dural / cerebrospinal fluid (CSF) leak. Includes surgery for rhinorrhea/otorrhea, DBS for parkinsons",T,
2910,Craniotomy for removal of arteriovenous malformation,,
2911,Stereo-tactic cerebral and spinal cord procedure: First sitting,,
2913,Stereo-tactic cerebral and spinal cord procedure: Repeat,,
2915,Transnasal hypophysectomy,,
2916,Transfrontal hypophysectomy,,
2917,Transnasal hypophyseal implants,,
2918,Non-operative supervision of paraplegics for all disciplines except urologists. Per service (specified),,
2923,Chordotomy: Unilateral,,
2925,Chordotomy: Open,,
2927,"Rhizotomy: Extradural, but intraspinal, Trigeminus Rhyzotomie (Mag nie bill op Discovery, to bill 2801 without time)",M,
2928,Rhizotomy: Intradural,M,
2929,"Removal of spinal cord tumour: Intramedullar: Posterior approach, Spinal Cord Stimulation",T,
2930,"Removal of spinal cord tumour: Intramedullar: Anterio-lateral approach, Spinal Cord Stimulation",T,
2931,"Removal of spinal cord tumour: Extramedullary, but intradural: Posterior approach",,
2932,"Removal of spinal cord tumour: Extramedullary, but intradural: Anterio-lateral approach",,
2933,"Removal of spinal cord tumour: Extramedullary, but intradural: Intraspinal, but extradural: Posterior approach",,
2935,"Removal of spinal cord tumour: Extramedullary, but intradural: Transcutaneous chordotomy",,
2937,"Repair of meningocele, involving nerve tissue",,
2938,Simple,,
2939,Excision of arterial vascular malformations and cysts of the spinal cord,,
2940,Lumbar osteophyte removal,M,
2941,Cervical or thoracic osteophyte removal,M,
2951,Carotis: Trauma,,
2953,Carotis: For aneurysm (AV anomaly),,
2955,Removal of carotid body tumour (without vascular reconstruction),,
2970,Electro-convulsive treatment (ECT): Each time (See rule Va),,
2972,Narco-analysis (Maximum of 3 sessions per treatment): Per session,,
2973,Psychometry (specify examination): Per session (Maximum of 3 sessions per examination),,
2983,"Lobectomy: Partial, Tireodektomie(ST)",T,
2985,"Lobectomy: Total, Thyroid lobectomy",T,
2987,Thyroidectomy: Subtotal,T,
2989,"Thyroidectomy: Total, Tireodektomie (T)",T,
2991,Thyroglossal cyst or fistula excision,,
2993,"Exploration of parathyroid glands for hyperparathyroidism including removal, Parathyroidectomy",,
2995,Adrenalectomy: Unilateral,,
2997,Bilateral exploration of adrenal glands: Including removal,,
2998,Ambulatory continuous glucose monitoring: Interstitial tissue fluid via a subcutaneous sensor for a minimum of 72 hours (includes interpretation and report),,
2999,Transethmoidal hypophysectomy,,
3000,Transnasal hypophysectomy (see also item 2915),,
3001,Implantation of pellets (excluding cost of material) (excluding after-care),,
3002,Gonioscopy,,
3003,Fundus contact lens or 90 D lens examination (not to be charged with item 3004 or item 3012),,
3004,Peripheral fundus examination with indirect ophthalmoscope (not to be charged with item 3003 and/or item 3012),,
3005,Endothelial cell count,,
3006,Keratometry,,
3007,Potential acuity measurement,,
3008,Contrast sensitivity test,,
3009,Basic capital equipment used in own rooms by ophthalmologists. Only to be charged at first and follow-up consultations. Not to be charged for post-operative follow-up consultations,,
3010,Orthoptics consultation,,
3011,Orthoptic subsequent sessions,,
3012,Pre-surgical retinal examination before retinal surgery,,
3013,Ocular motility assessment: Comprehensive examination,,
3014,Tonometry per test with maximum of 2 tests for provocative tonometry (one or both eyes),,
3015,Charting of visual field with manual perimeter,,
3016,Retinal threshold test without storage facilities,,
3017,Retinal threshold test inclusive of computer disc storage for Delta of Statpak programs,,
3018,Retinal threshold trend evaluation (additional to item 3017),,
3019,Ocular muscle function with Hess screen or perimeter,,
3020,"Special eye investigations: Pachymetry: Only when own instrument is used, per eye. Only in addition to corneal surgery",,
3021,"Special eye investigations: Retinal function assessment including refraction after ocular surgery (within four months), maximum two examinations",,
3022,Digital fluorescein video angiography,,
3023,Digital indocyanine video angiography,,
3024,"Infusion of dye used during Fluorescein Angiography, Indocyanine Green Video Angiography and Photodynamic therapy. Linked to items 3022, 3023, 3031, 3039",,
3025,Electronic tonography,,
3026,Digital Tomography of optic nerve with Scanning Laser Ophthalmoscope (SLO). Limited to two exams per annum,,
3027,Fundus photography,,
3028,Optical Coherent Tomography (OCT) of Optic nerve or macula: Per eye,,
3029,Anterior segment microphotography,,
3031,Fluorescein Angiography: One or both eyes (not to be used with item 3022),,
3032,Eyelid and orbit photography,,
3033,"Interpretation of items 3022, 3023 and 3031 referred by other clinicians",,
3034,Determination of lens implant power per eye,,
3035,"Where a minor procedure usually done in the consulting rooms requires a general anaesthetic or use of an operating theatre, an additional fee may be charged",,
3036,Corneal topography: For pathological corneas only on special motivation. For refractive surgery - may be charged once pre-operative and once post-operative per sitting (for one or both eyes),,
3037,Surgical treatment of retinal detachment including vitreous replacement but excluding vitrectomy,,
3039,Prophylaxis and treatment of retina and choroid by cryotherapy and/or diathermy and/or photocoagulation and/or laser per eye,,
3041,Pan retinal photocoagulation (per eye): Done in one sitting,,
3044,Removal of encircling band and/or buckling material,,
3045,Cataract: Intra-capsular,T,
3047,Cataract: Extra-capsular (including capsulotomy),,
3049,Insertion of lenticulus in addition to item 3045 or item 3047 (cost of lens excluded) (modifier 0005 not applicable),,
3050,Repositioning of intra ocular lens,,
3051,Needling or capsulotomy,,
3052,Laser capsulotomy,,
3057,"Removal of lenticulus, Verwydering van lentikulus / artisan lens removal",,
3058,"Exchange of intra ocular lens, IOL",T,
3059,Insertion of lenticulus when item 3045 or item 3047 was not executed (cost of lens excluded),,
3060,Use of own surgical microscope for surgery or examination (not for slit lamp microscope) (for use by ophthalmologists only),,
3061,"Drainage operation (For eye procedures only), Abscess thigh",T,
3062,Implantation of aqueous shunt device/seton in glaucoma (additional to item 3061),,
3063,Cyclocryotherapy or cyclodiathermy,,
3064,Laser trabeculoplasty,,
3065,Removal of blood from anterior chamber,,
3067,Goniotomy,,
3071,Intra-ocular foreign body: Anterior to Iris,,
3073,Intra-ocular foreign body: Posterior to Iris (including prophylactic thermal treatment to retina),,
3074,Strabismus (whether operation performed on one eye or both): Adjustment of sutures if not done at the time of the operation. Additional fee for sterile tray (refer to item 0202),,
3075,Strabismus (whether operation performed on one eye or both): Operation on one or two muscles,T,
3076,Strabismus (whether operation performed on one eye or both): Operation on three or four muscles,,
3077,Strabismus (whether operation performed on one eye or both): Subsequent operation one or two muscles,,
3078,Strabismus (whether operation performed on one eye or both): Subsequent operation on three or four muscles,,
3079,Transcleral biopsy,,
3080,Examination of eyes under general anaesthetic where no surgery is done,,
3081,Treatment of minor perforating injury,,
3083,"Treatment of major perforating injury, Exploration ruptured globe",,
3085,Enucleation or Evisceration,,
3087,Enucleation or Evisceration with mobile implant: Excluding cost of implant and prosthesis,,
3088,Hydroxyapetite insertion (additional to item 3087),,
3089,Subconjunctival injection if not done at time of operation,,
3090,Intra vitreal injection drug,,
3091,Retrobulbar injection (if not done at time of operation),,
3092,External laser treatment for superficial lesions,,
3093,Treatment of tumours of retina or choriod by radioactive plaque and/or diathermy and/or cryotherapy and/or laser therapy and/or photocoagulation,,
3094,Implantation of intra vitreal drug delivery system,,
3095,Biopsy of vitreous body or anterior chamber contents,,
3096,Adding of air or gas in vitreous as a post-operative procedure or pneumo-retinopexy,,
3097,"Anterior vitrectomy, PPV",T,
3098,Removal of silicon from globe,,
3099,"Posterior vitrectomy including anterior vitrectomy, encircling of globe and vitreous replacement",,
3100,Lensectomy done at time of posterior vitrectomy,,
3101,Drainage of orbital abscess,,
3103,"Orbit: Removal of tumour, Removal tumour eyelid, Tumour eksisie kaak",,
3104,Removal orbital prosthesis,,
3105,Orbit: Exenteration,,
3107,Orbitotomy requiring bone flap,,
3108,"Eye socket reconstruction, Canaloplasty",T,
